TIME,GEO,VALUE
2019-03,Greece,102.32
2019-04,Greece,103.33
2019-05,Greece,102.93
2019-06,Greece,103.54
2019-07,Greece,102.32
2019-08,Greece,101.74
2019-09,Greece,103.3
2019-10,Greece,103.23
2019-11,Greece,102.51
2019-12,Greece,102.95
2020-01,Greece,101.63
2020-02,Greece,101.27
2020-03,Greece,102.51
2020-04,Greece,102.39
2020-05,Greece,102.23
2020-06,Greece,101.56
2020-07,Greece,100.17
2020-08,Greece,99.45
2020-09,Greece,100.91
2020-10,Greece,101.13
2020-11,Greece,100.31
2020-12,Greece,100.49
2021-01,Greece,99.2
2021-02,Greece,99.39
2021-03,Greece,100.43
2021-04,Greece,101.29
2021-05,Greece,100.98
2021-06,Greece,102.17
2021-07,Greece,100.83
2021-08,Greece,100.68
2021-09,Greece,102.83
2021-10,Greece,104
2021-11,Greece,104.35
2021-12,Greece,104.87
2022-01,Greece,104.65
2022-02,Greece,105.63
2022-03,Greece,108.43
2022-04,Greece,110.55
2022-05,Greece,111.59
2022-06,Greece,114.05
2022-07,Greece,112.19
2022-08,Greece,111.98
2022-09,Greece,115.29
2022-10,Greece,113.85
2022-11,Greece,113.55
2022-12,Greece,112.81
2023-01,Greece,112.29
2023-02,Greece,112.51
2023-03,Greece,114.28
2023-04,Greece,115.55
2023-05,Greece,116.17
2023-06,Greece,117.23
2023-07,Greece,116.08
2023-08,Greece,115.87
2023-09,Greece,118.04
2023-10,Greece,118.17
2023-11,Greece,116.86
2023-12,Greece,116.97
2024-01,Greece,115.89
2024-02,Greece,116.04
2024-03,Greece,118.13
2024-04,Greece,119.24
2024-05,Greece,118.9
2024-06,Greece,120.11
2024-07,Greece,119.55
2015-01,Spain,98.04
2015-02,Spain,98.18
2015-03,Spain,100.15
2015-04,Spain,100.83
2015-05,Spain,101.27
2015-06,Spain,101.46
2015-07,Spain,99.9
2015-08,Spain,99.5
2015-09,Spain,99.9
2015-10,Spain,100.21
2015-11,Spain,100.47
2015-12,Spain,100.09
2016-01,Spain,97.63
2016-02,Spain,97.21
2016-03,Spain,99.16
2016-04,Spain,99.65
2016-05,Spain,100.17
2016-06,Spain,100.59
2016-07,Spain,99.25
2016-08,Spain,99.21
2016-09,Spain,99.93
2016-10,Spain,100.71
2016-11,Spain,100.95
2016-12,Spain,101.5
2017-01,Spain,100.5
2017-02,Spain,100.16
2017-03,Spain,101.29
2017-04,Spain,102.21
2017-05,Spain,102.16
2017-06,Spain,102.22
2017-07,Spain,100.98
2017-08,Spain,101.15
2017-09,Spain,101.77
2017-10,Spain,102.4
2017-11,Spain,102.73
2017-12,Spain,102.74
2018-01,Spain,101.22
2018-02,Spain,101.37
2018-03,Spain,102.59
2018-04,Spain,103.36
2018-05,Spain,104.32
2018-06,Spain,104.56
2018-07,Spain,103.31
2018-08,Spain,103.41
2018-09,Spain,104.06
2018-10,Spain,104.77
2018-11,Spain,104.52
2018-12,Spain,104
2019-01,Spain,102.26
2019-02,Spain,102.47
2019-03,Spain,103.9
2019-04,Spain,105.06
2019-05,Spain,105.31
2019-06,Spain,105.18
2019-07,Spain,103.98
2019-08,Spain,103.87
2019-09,Spain,104.28
2019-10,Spain,104.97
2019-11,Spain,105.01
2019-12,Spain,104.88
2020-01,Spain,103.42
2020-02,Spain,103.36
2020-03,Spain,103.98
2020-04,Spain,104.35
2020-05,Spain,104.41
2020-06,Spain,104.87
2020-07,Spain,103.23
2020-08,Spain,103.23
2020-09,Spain,103.69
2020-10,Spain,104.01
2020-11,Spain,104.12
2020-12,Spain,104.28
2021-01,Spain,103.87
2021-02,Spain,103.27
2021-03,Spain,105.22
2021-04,Spain,106.39
2021-05,Spain,106.95
