TIME,GEO,SEX,AGE,VALUE
2016,Albania,Males,Less than 15 years,277922
2017,Albania,Males,Less than 15 years,271222
2018,Albania,Males,Less than 15 years,261344
2019,Albania,Males,Less than 15 years,253003
2020,Albania,Males,Less than 15 years,244995
2021,Albania,Males,Less than 15 years,238723
2022,Albania,Males,Less than 15 years,232309
2023,Albania,Males,Less than 15 years,224882
2008,Serbia,Males,Less than 15 years,583072
2009,Serbia,Males,Less than 15 years,575928
2010,Serbia,Males,Less than 15 years,570365
2011,Serbia,Males,Less than 15 years,539158
2012,Serbia,Males,Less than 15 years,533564
2013,Serbia,Males,Less than 15 years,530515
2014,Serbia,Males,Less than 15 years,527441
2015,Serbia,Males,Less than 15 years,526536
2016,Serbia,Males,Less than 15 years,525470
2017,Serbia,Males,Less than 15 years,521430
2018,Serbia,Males,Less than 15 years,517542
2019,Serbia,Males,Less than 15 years,513296
2020,Serbia,Males,Less than 15 years,509475
2021,Serbia,Males,Less than 15 years,505237
2022,Serbia,Males,Less than 15 years,502022
2023,Serbia,Males,Less than 15 years,493848
2008,Türkiye,Males,Less than 15 years,9570773
2009,Türkiye,Males,Less than 15 years,9646960
2010,Türkiye,Males,Less than 15 years,9681912
2011,Türkiye,Males,Less than 15 years,9691297
2012,Türkiye,Males,Less than 15 years,9694739
2013,Türkiye,Males,Less than 15 years,9678382
2014,Türkiye,Males,Less than 15 years,9675248
2015,Türkiye,Males,Less than 15 years,9683155
2016,Türkiye,Males,Less than 15 years,9695191
2017,Türkiye,Males,Less than 15 years,9715020
2018,Türkiye,Males,Less than 15 years,9769101
2019,Türkiye,Males,Less than 15 years,9846565
2020,Türkiye,Males,Less than 15 years,9859547
2021,Türkiye,Males,Less than 15 years,9784410
2022,Türkiye,Males,Less than 15 years,9736692
2023,Türkiye,Males,Less than 15 years,9612722
2008,Ukraine,Males,Less than 15 years,3336144
2009,Ukraine,Males,Less than 15 years,3325162
2010,Ukraine,Males,Less than 15 years,3330609
2011,Ukraine,Males,Less than 15 years,3338373
2012,Ukraine,Males,Less than 15 years,3358132
2013,Ukraine,Males,Less than 15 years,3405479
2014,Ukraine,Males,Less than 15 years,3453718
2015,Ukraine,Males,Less than 15 years,3319634
2016,Ukraine,Males,Less than 15 years,3343782
2017,Ukraine,Males,Less than 15 years,3365550
2018,Ukraine,Males,Less than 15 years,3362603
2019,Ukraine,Males,Less than 15 years,3338008
2020,Ukraine,Males,Less than 15 years,3290628
2021,Ukraine,Males,Less than 15 years,3235935
2022,Ukraine,Males,Less than 15 years,3154592
2016,Kosovo*,Males,Less than 15 years,249070
2017,Kosovo*,Males,Less than 15 years,232064
2018,Kosovo*,Males,Less than 15 years,233621
2019,Kosovo*,Males,Less than 15 years,228077
2020,Kosovo*,Males,Less than 15 years,223263
2008,Andorra,Males,Less than 15 years,6408
2009,Andorra,Males,Less than 15 years,6437
2010,Andorra,Males,Less than 15 years,6340
2011,Andorra,Males,Less than 15 years,6243
2012,Andorra,Males,Less than 15 years,6243
2013,Andorra,Males,Less than 15 years,6089
2019,Andorra,Males,Less than 15 years,5427
2008,Belarus,Males,Less than 15 years,730578
2009,Belarus,Males,Less than 15 years,727522
2011,Belarus,Males,Less than 15 years,726383
2012,Belarus,Males,Less than 15 years,734886
2013,Belarus,Males,Less than 15 years,750878
2014,Belarus,Males,Less than 15 years,765295
2015,Belarus,Males,Less than 15 years,781010
2016,Belarus,Males,Less than 15 years,797146
2017,Belarus,Males,Less than 15 years,812583
2018,Belarus,Males,Less than 15 years,820584
2019,Belarus,Males,Less than 15 years,824810
2008,Russia,Males,Less than 15 years,10666056
2009,Russia,Males,Less than 15 years,10806895
2010,Russia,Males,Less than 15 years,10968117
2011,Russia,Males,Less than 15 years,11098745
2014,Russia,Males,Less than 15 years,11987516
2012,San Marino,Males,Less than 15 years,2657
2013,San Marino,Males,Less than 15 years,2644
2018,San Marino,Males,Less than 15 years,2539
2020,San Marino,Males,Less than 15 years,2430
2008,Armenia,Males,Less than 15 years,324757
2009,Armenia,Males,Less than 15 years,319071
2010,Armenia,Males,Less than 15 years,316919
2014,Armenia,Males,Less than 15 years,307509
2015,Armenia,Males,Less than 15 years,310892
2016,Armenia,Males,Less than 15 years,313899
2017,Armenia,Males,Less than 15 years,317336
2018,Armenia,Males,Less than 15 years,319006
2019,Armenia,Males,Less than 15 years,318898
2020,Armenia,Males,Less than 15 years,318017
2008,Azerbaijan,Males,Less than 15 years,1060700
2009,Azerbaijan,Males,Less than 15 years,1062800
2010,Azerbaijan,Males,Less than 15 years,1078768
2011,Azerbaijan,Males,Less than 15 years,1082227
2012,Azerbaijan,Males,Less than 15 years,1095288
2013,Azerbaijan,Males,Less than 15 years,1115052
2014,Azerbaijan,Males,Less than 15 years,1133468
2015,Azerbaijan,Males,Less than 15 years,1152268
2016,Azerbaijan,Males,Less than 15 years,1170369
2017,Azerbaijan,Males,Less than 15 years,1187454
2018,Azerbaijan,Males,Less than 15 years,1195040
2019,Azerbaijan,Males,Less than 15 years,1197484
2020,Azerbaijan,Males,Less than 15 years,1206549
2008,Belgium,Females,Less than 15 years,880369
2009,Belgium,Females,Less than 15 years,887118
2010,Belgium,Females,Less than 15 years,895783
2011,Belgium,Females,Less than 15 years,912815
2012,Belgium,Females,Less than 15 years,919202
2013,Belgium,Females,Less than 15 years,924605
2014,Belgium,Females,Less than 15 years,928724
2015,Belgium,Females,Less than 15 years,933460
2016,Belgium,Females,Less than 15 years,938384
2017,Belgium,Females,Less than 15 years,941302
2018,Belgium,Females,Less than 15 years,944347
2019,Belgium,Females,Less than 15 years,947182
2020,Belgium,Females,Less than 15 years,948977
2021,Belgium,Females,Less than 15 years,945947
2022,Belgium,Females,Less than 15 years,943867
2023,Belgium,Females,Less than 15 years,947030
2008,Bulgaria,Females,Less than 15 years,479580
2009,Bulgaria,Females,Less than 15 years,474994
2010,Bulgaria,Females,Less than 15 years,474208
2011,Bulgaria,Females,Less than 15 years,473564
2012,Bulgaria,Females,Less than 15 years,475942
2013,Bulgaria,Females,Less than 15 years,484381
2014,Bulgaria,Females,Less than 15 years,480114
2015,Bulgaria,Females,Less than 15 years,474385
2016,Bulgaria,Females,Less than 15 years,467438
2017,Bulgaria,Females,Less than 15 years,463069
2018,Bulgaria,Females,Less than 15 years,459657
2019,Bulgaria,Females,Less than 15 years,453929
2020,Bulgaria,Females,Less than 15 years,447200
2021,Bulgaria,Females,Less than 15 years,447447
2022,Bulgaria,Females,Less than 15 years,445643
2023,Bulgaria,Females,Less than 15 years,444499
2008,Czechia,Females,Less than 15 years,716428
2009,Czechia,Females,Less than 15 years,718584
2010,Czechia,Females,Less than 15 years,727146
2011,Czechia,Females,Less than 15 years,740790
2012,Czechia,Females,Less than 15 years,750307
2013,Czechia,Females,Less than 15 years,759767
2014,Czechia,Females,Less than 15 years,768238
2015,Czechia,Females,Less than 15 years,779580
2016,Czechia,Females,Less than 15 years,791107
2017,Czechia,Females,Less than 15 years,802627
2018,Czechia,Females,Less than 15 years,814133
2019,Czechia,Females,Less than 15 years,825350
2020,Czechia,Females,Less than 15 years,833900
2021,Czechia,Females,Less than 15 years,821640
2022,Czechia,Females,Less than 15 years,826546
2023,Czechia,Females,Less than 15 years,854910
2008,Denmark,Females,Less than 15 years,492644
2009,Denmark,Females,Less than 15 years,491672
2010,Denmark,Females,Less than 15 years,488275
2011,Denmark,Females,Less than 15 years,485380
2012,Denmark,Females,Less than 15 years,481321
2013,Denmark,Females,Less than 15 years,476876
2014,Denmark,Females,Less than 15 years,472515
2015,Denmark,Females,Less than 15 years,469345
2016,Denmark,Females,Less than 15 years,467925
2017,Denmark,Females,Less than 15 years,468251
2018,Denmark,Females,Less than 15 years,467949
2019,Denmark,Females,Less than 15 years,466360
2020,Denmark,Females,Less than 15 years,463961
2021,Denmark,Females,Less than 15 years,461735
2022,Denmark,Females,Less than 15 years,460319
2023,Denmark,Females,Less than 15 years,461020
2008,Germany,Females,Less than 15 years,5493189
2009,Germany,Females,Less than 15 years,5424587
2010,Germany,Females,Less than 15 years,5368217
2011,Germany,Females,Less than 15 years,5300719
2012,Germany,Females,Less than 15 years,5246953
2013,Germany,Females,Less than 15 years,5201962
2014,Germany,Females,Less than 15 years,5182094
2015,Germany,Females,Less than 15 years,5203075
2016,Germany,Females,Less than 15 years,5287075
2017,Germany,Females,Less than 15 years,5369268
2018,Germany,Females,Less than 15 years,5430864
2019,Germany,Females,Less than 15 years,5490113
2020,Germany,Females,Less than 15 years,5539556
2021,Germany,Females,Less than 15 years,5581435
2022,Germany,Females,Less than 15 years,5644759
2023,Germany,Females,Less than 15 years,5802323
2008,Estonia,Females,Less than 15 years,96380
2009,Estonia,Females,Less than 15 years,97030
2010,Estonia,Females,Less than 15 years,97950
2011,Estonia,Females,Less than 15 years,99090
2012,Estonia,Females,Less than 15 years,99785
2013,Estonia,Females,Less than 15 years,100456
2014,Estonia,Females,Less than 15 years,101112
2015,Estonia,Females,Less than 15 years,101988
2016,Estonia,Females,Less than 15 years,102984
2017,Estonia,Females,Less than 15 years,103949
2018,Estonia,Females,Less than 15 years,104542
2019,Estonia,Females,Less than 15 years,105604
2020,Estonia,Females,Less than 15 years,106253
2021,Estonia,Females,Less than 15 years,106320
2022,Estonia,Females,Less than 15 years,106094
2023,Estonia,Females,Less than 15 years,109193
2008,Ireland,Females,Less than 15 years,442845
2009,Ireland,Females,Less than 15 years,455110
2010,Ireland,Females,Less than 15 years,465111
2011,Ireland,Females,Less than 15 years,474247
2012,Ireland,Females,Less than 15 years,481667
2013,Ireland,Females,Less than 15 years,485520
2014,Ireland,Females,Less than 15 years,487798
2015,Ireland,Females,Less than 15 years,489711
2016,Ireland,Females,Less than 15 years,490947
2017,Ireland,Females,Less than 15 years,492789
2018,Ireland,Females,Less than 15 years,491658
2019,Ireland,Females,Less than 15 years,492380
2020,Ireland,Females,Less than 15 years,491254
2021,Ireland,Females,Less than 15 years,488612
2022,Ireland,Females,Less than 15 years,486747
2023,Ireland,Females,Less than 15 years,498638
2008,Greece,Females,Less than 15 years,791306
2009,Greece,Females,Less than 15 years,794043
2010,Greece,Females,Less than 15 years,796218
2011,Greece,Females,Less than 15 years,796582
2012,Greece,Females,Less than 15 years,794701
2013,Greece,Females,Less than 15 years,788967
2014,Greece,Females,Less than 15 years,780835
2015,Greece,Females,Less than 15 years,769392
2016,Greece,Females,Less than 15 years,758408
2017,Greece,Females,Less than 15 years,756738
2018,Greece,Females,Less than 15 years,752464
2019,Greece,Females,Less than 15 years,747353
2020,Greece,Females,Less than 15 years,742522
2021,Greece,Females,Less than 15 years,734839
2022,Greece,Females,Less than 15 years,693512
2023,Greece,Females,Less than 15 years,675953
2008,Spain,Females,Less than 15 years,3247294
2009,Spain,Females,Less than 15 years,3319717
2010,Spain,Females,Less than 15 years,3365941
2011,Spain,Females,Less than 15 years,3403385
2012,Spain,Females,Less than 15 years,3432173
2013,Spain,Females,Less than 15 years,3437158
2014,Spain,Females,Less than 15 years,3426690
2015,Spain,Females,Less than 15 years,3416688
2016,Spain,Females,Less than 15 years,3405898
2017,Spain,Females,Less than 15 years,3395182
2018,Spain,Females,Less than 15 years,3382145
2019,Spain,Females,Less than 15 years,3357997
2020,Spain,Females,Less than 15 years,3332450
2021,Spain,Females,Less than 15 years,3275975
2022,Spain,Females,Less than 15 years,3212098
2023,Spain,Females,Less than 15 years,3172767
2008,France,Females,Less than 15 years,5776108
2009,France,Females,Less than 15 years,5821592
2010,France,Females,Less than 15 years,5863317
2011,France,Females,Less than 15 years,5893053
2012,France,Females,Less than 15 years,5925556
2013,France,Females,Less than 15 years,5953276
2014,France,Females,Less than 15 years,6020881
2015,France,Females,Less than 15 years,6035364
2016,France,Females,Less than 15 years,6005437
2017,France,Females,Less than 15 years,5977495
2018,France,Females,Less than 15 years,5958191
2019,France,Females,Less than 15 years,5922484
2020,France,Females,Less than 15 years,5882354
2021,France,Females,Less than 15 years,5847074
2022,France,Females,Less than 15 years,5800024
2023,France,Females,Less than 15 years,5750539
2008,Croatia,Females,Less than 15 years,325708
2009,Croatia,Females,Less than 15 years,323672
2010,Croatia,Females,Less than 15 years,321825
2011,Croatia,Females,Less than 15 years,318920
2012,Croatia,Females,Less than 15 years,314288
2013,Croatia,Females,Less than 15 years,308576
2014,Croatia,Females,Less than 15 years,302855
2015,Croatia,Females,Less than 15 years,298666
2016,Croatia,Females,Less than 15 years,293280
2017,Croatia,Females,Less than 15 years,288991
2018,Croatia,Females,Less than 15 years,283669
2019,Croatia,Females,Less than 15 years,279395
2020,Croatia,Females,Less than 15 years,275427
2021,Croatia,Females,Less than 15 years,270609
2022,Croatia,Females,Less than 15 years,268605
2023,Croatia,Females,Less than 15 years,267156
2008,Italy,Females,Less than 15 years,4031344
2009,Italy,Females,Less than 15 years,4061387
2010,Italy,Females,Less than 15 years,4081202
2011,Italy,Females,Less than 15 years,4092133
2012,Italy,Females,Less than 15 years,4089343
2013,Italy,Females,Less than 15 years,4091025
2014,Italy,Females,Less than 15 years,4072867
2015,Italy,Females,Less than 15 years,4039421
2016,Italy,Females,Less than 15 years,3990318
2017,Italy,Females,Less than 15 years,3939826
2018,Italy,Females,Less than 15 years,3885450
2019,Italy,Females,Less than 15 years,3821568
2020,Italy,Females,Less than 15 years,3751667
2021,Italy,Females,Less than 15 years,3707766
2022,Italy,Females,Less than 15 years,3637809
2023,Italy,Females,Less than 15 years,3566811
2008,Cyprus,Females,Less than 15 years,68585
2009,Cyprus,Females,Less than 15 years,68332
2010,Cyprus,Females,Less than 15 years,68442
2011,Cyprus,Females,Less than 15 years,68801
2012,Cyprus,Females,Less than 15 years,69345
2013,Cyprus,Females,Less than 15 years,68954
2014,Cyprus,Females,Less than 15 years,67959
2015,Cyprus,Females,Less than 15 years,67773
2016,Cyprus,Females,Less than 15 years,67860
2017,Cyprus,Females,Less than 15 years,67790
2018,Cyprus,Females,Less than 15 years,68598
2019,Cyprus,Females,Less than 15 years,69022
2020,Cyprus,Females,Less than 15 years,69656
2021,Cyprus,Females,Less than 15 years,69802
2022,Cyprus,Females,Less than 15 years,70377
2023,Cyprus,Females,Less than 15 years,71966
2008,Latvia,Females,Less than 15 years,149967
2009,Latvia,Females,Less than 15 years,148647
2010,Latvia,Females,Less than 15 years,146603
2011,Latvia,Females,Less than 15 years,143834
2012,Latvia,Females,Less than 15 years,142519
2013,Latvia,Females,Less than 15 years,142458
2014,Latvia,Females,Less than 15 years,143503
2015,Latvia,Females,Less than 15 years,144951
2016,Latvia,Females,Less than 15 years,145887
2017,Latvia,Females,Less than 15 years,147237
2018,Latvia,Females,Less than 15 years,147925
2019,Latvia,Females,Less than 15 years,147803
2020,Latvia,Females,Less than 15 years,147905
2021,Latvia,Females,Less than 15 years,146790
2022,Latvia,Females,Less than 15 years,145263
2023,Latvia,Females,Less than 15 years,145507
2008,Lithuania,Females,Less than 15 years,242347
2009,Lithuania,Females,Less than 15 years,234533
2010,Lithuania,Females,Less than 15 years,228947
2011,Lithuania,Females,Less than 15 years,221328
2012,Lithuania,Females,Less than 15 years,216048
2013,Lithuania,Females,Less than 15 years,212500
2014,Lithuania,Females,Less than 15 years,212584
2015,Lithuania,Females,Less than 15 years,209525
2016,Lithuania,Females,Less than 15 years,207035
2017,Lithuania,Females,Less than 15 years,205471
2018,Lithuania,Females,Less than 15 years,204369
2019,Lithuania,Females,Less than 15 years,203711
2020,Lithuania,Females,Less than 15 years,203576
2021,Lithuania,Females,Less than 15 years,202769
2022,Lithuania,Females,Less than 15 years,203173
2023,Lithuania,Females,Less than 15 years,208146
2008,Luxembourg,Females,Less than 15 years,42745
2009,Luxembourg,Females,Less than 15 years,43126
2010,Luxembourg,Females,Less than 15 years,43270
2011,Luxembourg,Females,Less than 15 years,43769
2012,Luxembourg,Females,Less than 15 years,43765
